DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,TELEPHONE,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,CARRIER_OPERATION_LIST
1149850,COYOTE GRAVEL PRODUCTS INC,,Intrastate Non-Hazmat,10-JUL-03,New Mexico,64.0,46.0,2124 COORS BLVD SW,ALBUQUERQUE,New Mexico,87121,United States,(505) 877-3830,TERI@COYGRA.COM,07-OCT-22,1.0,2020.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1155210,J H SERVICES INC,,Interstate,29-JUL-03,New Mexico,46.0,25.0,6616 GULTON CT NE SUITE 90,ALBUQUERQUE,New Mexico,87109,United States,(505) 896-9428,HOLLY@JHSERVICESINC.COM,03-FEB-25,674772.0,2024.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1185355,DIVERSIFIED FIELD SERVICES INC,,Interstate,07-NOV-03,New Mexico,50.0,31.0,315 S LEECH,HOBBS,New Mexico,88240,United States,(575) 441-4634,CCOWAN@DIVERSIFIEDFSI.COM,05-JAN-23,1075746.0,2022.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1201764,KELLEY OILFIELD SERVICES INC,,Interstate,16-JAN-04,New Mexico,57.0,104.0,3601N 1ST ST STE M,BLOOMFIELD,New Mexico,87413,United States,(505) 632-2423,KOSI@KOSINM.COM,28-JUN-24,750000.0,2023.0,AUTHORIZED_FOR_HIRE
1203369,TLM EXPRESS INC,,Interstate,22-JAN-04,New Mexico,55.0,55.0,975 CR H,CLOVIS,New Mexico,88101,United States,(575) 763-5568,GAIL@TLMEXPRESS.COM,10-SEP-24,2139905.0,2023.0,AUTHORIZED_FOR_HIRE;EXEMPT_FOR_HIRE
1299568,MOUNTAIN STATES CONSTRUCTORS INC,,Interstate,28-OCT-04,New Mexico,46.0,46.0,3601 PAN AMERICAN FWY  NE SUITE 111,ALBUQUERQUE,New Mexico,87107,United States,(505) 344-5031,JAIME@MSCONSTRUCTORS.COM; KAREN@MSCONSTRUCTORS.COM,24-SEP-24,1039313.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1316009,SOUTHEAST READI MIX PRODUCTS INC,,Interstate,28-DEC-04,New Mexico,43.0,33.0,3001 BOYD DR,CARLSBAD,New Mexico,88220,United States,(575) 885-2181,BSCHUTT@SERMPINC.COM,09-JUL-24,1032724.0,2023.0,EXEMPT_FOR_HIRE
1339377,KELLY CABLE OF NEW MEXICO,,Interstate,01-MAR-05,New Mexico,57.0,42.0,6901 READING DR SE,ALBUQUERQUE,New Mexico,87105,United States,(505) 343-1144,MBARONAK@KELLYCORPNM.COM,28-JUN-23,2022816.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1479236,ROADRUNNER REDI-MIX INC,,Intrastate Non-Hazmat,27-MAR-06,New Mexico,65.0,48.0,4601 PARADISE BLVD NW,ALBUQUERQUE,New Mexico,87114,United States,(505) 994-3830,YVONNE@ROADRUNNERNM.COM,25-MAY-23,879876.0,2022.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1492271,TRIAD NATIONAL SECURITY LLC,,Interstate,24-APR-06,New Mexico,206.0,214.0,BIKINI ATOLL RD SM-30,LOS ALAMOS,New Mexico,87545,United States,(505) 667-1118,JOEA@LANL.GOV,30-MAR-23,5532100.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1554838,ARAPAHOE OILFIELD SERVICES LLC,,Interstate,16-SEP-06,New Mexico,50.0,21.0,1414 E NADINE ROAD,HOBBS,New Mexico,88240,United States,(575) 393-8690,DAISHA@AOSNM.COM,19-SEP-24,650000.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
157658,NEW MEXICO BEVERAGE CO,,Intrastate Non-Hazmat,01-JUN-74,New Mexico,43.0,38.0,701 COMANCHE RD NE,ALBUQUERQUE,New Mexico,87107-4105,United States,(505) 345-8761,,13-AUG-01,570000.0,2000.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1669167,BIG WOODS PRODUCTION SERVICES LLC,,Interstate,23-JUL-07,New Mexico,58.0,1.0,3167 SAN MATEO BLVD NE APT #201,ALBUQUERQUE,New Mexico,87110,United States,(818) 266-8843,HAROWOO8@AOL.COM,24-JUN-24,164000.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1670486,R MARLEY LLC,,Interstate,26-JUL-07,New Mexico,83.0,62.0,121 WEST 3RD STREET,ROSWELL,New Mexico,88201,United States,(575) 551-7070,ADMIN@RMARLEY.COM,02-APR-24,3905986.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1677598,CSI ACQUISITION COMPANY LLC,CRANE SERVICE INC,Interstate,15-AUG-07,New Mexico,102.0,138.0,505 MURRY ROAD SE,ALBUQUERQUE,New Mexico,87105,United States,(505) 877-1100,WREYNOLDS@CRANESERVICEINC.COM,10-JUL-23,1728278.0,2022.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1686340,C&C TRANSPORT LLC,,Interstate,11-SEP-07,New Mexico,79.0,20.0,1250 E EVERGLADE ST,HOBBS,New Mexico,88240,United States,(575) 393-0422,COMPLIANCE@CCTRNSP.COM,25-OCT-24,946350.0,2023.0,AUTHORIZED_FOR_HIRE
170444,BARTOO SAND & GRAVEL INC,,Interstate,01-JUN-74,New Mexico,41.0,13.0,654 HWY 181,TRUTH OR CONSEQUENCE,New Mexico,87901,United States,(575) 894-7181,HBAR2SG@GMAIL.COM,05-APR-24,324000.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1718836,SUMMIT ELECTRIC SUPPLY CO INC,,Interstate,19-DEC-07,New Mexico,82.0,126.0,2900 STANFORD NE,ALBUQERQUE,New Mexico,87107,United States,(505) 346-2900,KEITH.FARMER@SUMMIT.COM,02-FEB-23,1387614.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1743499,BUILDERS SOURCE INC,,Interstate,29-FEB-08,New Mexico,62.0,42.0,308 MENAUL BLVD NE,ALBUQUERQUE,New Mexico,87107,United States,(505) 889-3001,EHS@BMDUSA.COM,14-NOV-23,175000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1806264,TDM LEASING LTD,,Interstate,28-AUG-08,New Mexico,66.0,54.0,812 GEORGE SHOUP RELIEF ROUTE,CARLSBAD,New Mexico,88220,United States,(575) 234-0332,SNEATHERLIN@TDMLEASING.COM,25-MAR-24,2334340.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1810171,NEW MEXICO GAS COMPANY,,Interstate,11-SEP-08,New Mexico,48.0,305.0,7120 WYOMING BLVD NE SUITE 20,ALBUQUERQUE,New Mexico,87109,United States,(505) 263-3654,ANTHONY.LUCERO@NMGCO.COM,14-JAN-25,5422000.0,2024.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1820484,GAMA TRANSPORT LLC,,Interstate,14-OCT-08,New Mexico,50.0,45.0,2402 DONA ANA RD,CARLSBAD,New Mexico,88220,United States,(575) 689-1348,JGAMA@GAMALLC.COM,22-APR-24,1132194.0,2023.0,AUTHORIZED_FOR_HIRE;EXEMPT_FOR_HIRE
1849423,CNJ OILFIELD SERVICES LLC,CNJ OFS,Interstate,29-JAN-09,New Mexico,90.0,59.0,1504 REAGAN,FARMINGTON,New Mexico,87401,United States,(505) 326-2968,JNELSON@CNJOILFIELDSVCS.COM,29-FEB-24,2078531.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
1903064,ALBUQUERQUE PUBLIC SCHOOLS,,Intrastate Non-Hazmat,16-JUN-09,New Mexico,56.0,59.0,6400 UPTOWN BLVD NE,ALBUQUERQUE,New Mexico,87110,United States,(505) 382-4312,OPAUL.MARTINEZ@APS.EDU,15-JAN-25,250000.0,2024.0,STATE_GOVERNMENT
1912182,CONTRERAS CONSTRUCTION CORP,,Intrastate Non-Hazmat,08-JUL-09,New Mexico,47.0,15.0,127 GENERAL SOMERVELL ST NE,ALBUQUERQUE,New Mexico,87123,United States,(505) 299-6778,SCONTRERAS@CONTRERASCONSTRUCTION,22-MAY-20,85000.0,2011.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1926722,RIO GRANDE REDI-MIX INC,,Intrastate Non-Hazmat,17-AUG-09,New Mexico,40.0,29.0,202 A 94TH ST SW STE A,ALBUQUERQUE,New Mexico,87121,United States,(505) 836-4244,KIM.NETHERY@ASPENCONCRETE.COM,14-FEB-24,500000.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
2002537,DUKE OILFIELD SERVICES LLC,,Interstate,04-MAR-10,New Mexico,43.0,36.0,2703 MISHAE RD,LOVINGTON,New Mexico,88260,United States,(575) 396-0934,DUKEOILFIELDLLC@GMAIL.COM,14-NOV-23,2634639.0,2023.0,AUTHORIZED_FOR_HIRE
2003392,DIVINE ENERGY SERVICES INC,,Interstate,05-MAR-10,New Mexico,44.0,29.0,1601 W BENDER BLVD,HOBBS,New Mexico,88240,United States,(575) 397-9435,MBOSTICK@DIVINEENERGY.COM,06-FEB-24,1177937.0,2023.0,AUTHORIZED_FOR_HIRE
2086908,GRIFFIN'S PROPANE INC,FUEL CENTER PLUS INC,Interstate,18-OCT-10,New Mexico,55.0,59.0,2334 RANCH CLUB ROAD,SILVER CITY,New Mexico,88061,United States,(575) 388-4433,KIM@GRIFFINSPROPANE.COM,16-JUL-24,795912.0,2024.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
216238,PUBLIC SERVICE CO OF NM,,Intrastate Non-Hazmat,06-JUL-82,New Mexico,394.0,125.0,414 SILVER AVE SW,ALBUQUERQUE,New Mexico,87102,United States,(505) 241-3608,LISA.HARRISON@PNMRESOURCES.COM,22-MAY-24,4873961.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
2191788,AAA WELL SERVICE LLC,,Interstate,13-SEP-11,New Mexico,61.0,59.0,606 S COMMERCIAL AVE,LOVINGTON,New Mexico,88260,United States,(832) 278-1869,LEGAL@AAAWELLSERVICE.US,26-JUL-24,1100000.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
2282479,TEX MEX SERVICES LLC,,Interstate,09-MAR-12,New Mexico,106.0,62.0,2604 NW COUNTY ROAD,HOBBS,New Mexico,88240,United States,(575) 492-0888,CRIVERA@TEXMEXRS.COM,06-MAY-24,2105479.0,2022.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
2315361,QATAR LLC,,Interstate,13-JUN-12,New Mexico,80.0,65.0,1106 SALAZAR RD,CARLSBAD,New Mexico,88220,United States,(915) 731-1327,QATARLLC@HOTMAIL.COM,11-JUN-24,2227979.0,2023.0,AUTHORIZED_FOR_HIRE
2335513,RIO VALLEY BIOFUEL TRANPORT INC,RVB TRANSPORT INC,Interstate,20-AUG-12,New Mexico,55.0,63.0,1940 ANTHONY DR,ANTHONY,New Mexico,88021,United States,(915) 791-8720,ELLE.MITCHELL@RVBTRANSPORT.COM,21-JUN-24,3362165.0,2023.0,AUTHORIZED_FOR_HIRE
2408157,AGAVE TRANSPORTATION SERVICES INC,,Interstate,22-MAY-13,New Mexico,69.0,76.0,1200 W DERRICK RD,CARLSBAD,New Mexico,88220,United States,(575) 941-2979,MGUZMAN@AGAVETRANSPORTATION.COM,10-JAN-24,3743463.0,2023.0,AUTHORIZED_FOR_HIRE
242249,JAMES HAMILTON CONSTRUCTION CO,,Interstate,02-FEB-84,New Mexico,48.0,20.0,17 S RIDGE RD,SILVER CITY,New Mexico,88061,United States,(575) 388-1546,REGULATIONS@DIGNPAVE.COM,26-SEP-24,177273.0,2024.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
2469208,TRINITY OILFIELD SERVICES & RENTALS LLC,,Interstate,21-JAN-14,New Mexico,58.0,33.0,8426 N DAL PASO,HOBBS,New Mexico,88240,United States,(575) 397-4961,COMPLIANCE@TRINITYOILFIELDSERVICES.COM,28-AUG-24,1254000.0,2024.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
252624,HERRERA COACHES INC,,Interstate,08-NOV-84,New Mexico,159.0,108.0,10605 CENTRAL AVE NW,ALBUQUERQUE,New Mexico,87121-7707,United States,(505) 242-1108,GLORIA@HERRERABUSES.COM,14-MAR-24,51916437.0,2023.0,AUTHORIZED_FOR_HIRE
2628859,INGRAM PROFESSIONAL SERVICES INC,,Interstate,24-APR-15,New Mexico,119.0,123.0,1612 W SANGER,HOBBS,New Mexico,88241,United States,(575) 393-1417,D.JETT@IPSAECORP.COM,07-JUN-24,140000.0,2022.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
270179,MVT SERVICES LLC,MESILLA VALLEY TRANSPORTATION,Interstate,14-MAR-86,New Mexico,2451.0,2034.0,3590 W PICACHO AVE,LAS CRUCES,New Mexico,88007,United States,(915) 791-4000,ALLEN.LOWRY@M-V-T.COM,13-MAR-24,177980315.0,2022.0,AUTHORIZED_FOR_HIRE
279446,THREE RIVERS TRUCKING INC,,Interstate,30-SEP-86,New Mexico,71.0,35.0,5929 HWY 64,BLOOMFIELD,New Mexico,87413,United States,(505) 632-5300,CPINKETT@YAHOO.COM,25-JUN-24,630000.0,2023.0,AUTHORIZED_FOR_HIRE
2901925,"TURQUOISE TOURS & EVENTS, INC.",TURQUOISE TOURS,Intrastate Non-Hazmat,20-JUN-16,New Mexico,61.0,2.0,18 COMANCHE RD UNIT 17  ,EL PRADO,New Mexico,87529-7523,United States,(575) 776-8687,LINDSAY@TURQUOISETOURS.US,20-JUN-16,,,AUTHORIZED_FOR_HIRE
2939697,TAOS COUNTY,,Intrastate Non-Hazmat,20-OCT-16,New Mexico,150.0,110.0,105 ALBRIGHT ST STE I  ,TAOS,New Mexico,87571-6170,United States,(575) 737-6300,ELSA.VIGIL@TAOSCOUNTY.ORG,20-OCT-16,,,PRIVATE_PROPERTY
295535,W W C INC,,Intrastate Non-Hazmat,15-JUN-87,New Mexico,50.0,52.0,1000 GABALDON DR NW,ALBUQUERQUE,New Mexico,87104-1811,United States,(505) 247-9336,SWELCH@NMIA.COM,31-AUG-05,306000.0,2004.0,PRIVATE_ONLY;PRIVATE_PROPERTY
295604,M & R TRUCKING INC,,Interstate,15-JUN-87,New Mexico,127.0,107.0,281 CR 350,FARMINGTON,New Mexico,87401,United States,(505) 334-5541,BMATHEWS@MRTRUCKINC.COM,19-APR-24,4942469.0,2023.0,AUTHORIZED_FOR_HIRE
298907,RINCHEM COMPANY LLC,,Interstate,12-AUG-87,New Mexico,66.0,73.0,5131 MASTHEAD ST NE,ALBUQUERQUE,New Mexico,87109,United States,(505) 336-8557,KDEAN@RINCHEM.COM,19-SEP-24,1141795.0,2023.0,AUTHORIZED_FOR_HIRE;OP_OTHER;OP_OTHER: INTERMODAL EQUIPMENT PROVIDER
3066085,J E S ENERGY LLC,,Interstate,06-NOV-17,New Mexico,58.0,44.0,2922 SOUTH 2ND STREET,LOVINGTON,New Mexico,88260,United States,(575) 396-7430,EDGARRAMIREZ@JESENERGYLLC.COM,16-OCT-24,2052428.0,2023.0,AUTHORIZED_FOR_HIRE
3107990,COMANCHE TRUCKING LLC,,Interstate,12-MAR-18,New Mexico,46.0,41.0,8214 W GUM ST,LOVINGTON,New Mexico,88260,United States,(806) 215-7242,OFFICE @COMANCHETRUCKINGLLC.COM,11-DEC-23,295747.0,2022.0,AUTHORIZED_FOR_HIRE
312357,RILEY INDUSTRIAL SERVICES INC,,Interstate,04-APR-88,New Mexico,250.0,256.0,2615 SAN JUAN BLVD,FARMINGTON,New Mexico,87401-2239,United States,(505) 327-4947,GMRILEY@RILEYINDUSTRIAL.COM,07-AUG-23,456.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
312708,TRIPLE S TRUCKING CO INC,,Interstate,07-APR-88,New Mexico,75.0,90.0,300 LEGION RD,AZTEC,New Mexico,87410,United States,(505) 334-6196,BHARMON@SSSTRUCKING.COM,16-FEB-24,1870617.0,2019.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
332135,SIDNEY W JOHNSON,ALBUQUERQUE MAIL SERVICE INC,Interstate,17-NOV-88,New Mexico,98.0,108.0,101 ROSEMONT NE,ALBUQUERQUE,New Mexico,87102,United States,(505) 843-7613,AMSISWFS@GMAIL.COM,14-MAR-23,6412507.0,2022.0,AUTHORIZED_FOR_HIRE;US_MAIL
3322114,TRILOGY MEDWASTE WEST,TRILOGY MEDWASTE,Interstate,13-AUG-19,New Mexico,70.0,71.0,4500 ANAHEIM AVE NE BLDG A,ALBUQUERQUE,New Mexico,87113,United States,(559) 571-2003,CPLATA@TRILOGYMEDWASTE.COM,29-AUG-22,1530000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
3383451,CITY OF ALAMOGORDO,,Intrastate Non-Hazmat,16-JAN-20,New Mexico,50.0,50.0,1376 EAST 9TH ST,ALAMOGORDO,New Mexico,88310,United States,(575) 439-4240,NBESHALER@CI.ALAMOGORDO.NM.US,04-JAN-23,2220.0,2022.0,PRIVATE_PROPERTY;LOCAL_GOVERNMENT
3507005,JAAS ENERGY SERVICES LLC,,Interstate,19-OCT-20,New Mexico,43.0,40.0,409 W BRIAN URLACHER,LOVINGTON,New Mexico,88260,United States,(575) 408-6060,JAASENERGYSERVICES@GMAIL.COM,26-APR-24,900000.0,2023.0,AUTHORIZED_FOR_HIRE
3516267,505 LOGISTICS,,Intrastate Non-Hazmat,04-NOV-20,New Mexico,40.0,100.0,10535 BROOKLINE PL NW,ALBUQUERQUE,New Mexico,87114,United States,(505) 269-5654,505LOGISTIC.NM@GMAIL.COM,18-SEP-24,20000.0,2023.0,AUTHORIZED_FOR_HIRE;EXEMPT_FOR_HIRE
353572,BOONE TRANSPORTATION INC,,Interstate,12-MAY-89,New Mexico,99.0,97.0,2102 WEST WASHINGTON,ANTHONY,New Mexico,88021,United States,(575) 882-3613,,06-FEB-25,1885005.0,2024.0,EXEMPT_FOR_HIRE
354049,ROCKY MOUNTAIN TRANSPORTATION INC,,Interstate,17-MAY-89,New Mexico,53.0,40.0,3105 SILVER CITY HWY NW,DEMING,New Mexico,88030,United States,(575) 546-1084,GERALD@ROCKYMOUNTTRANSPORT.COM,07-NOV-24,3066831.0,2023.0,AUTHORIZED_FOR_HIRE
364545,WASTE MANAGEMENT OF NEW MEXICO INC,WM,Interstate,01-SEP-89,New Mexico,170.0,136.0,402 INDUSTRIAL PARK LOOP,RIO RANCHO,New Mexico,87124,United States,(928) 237-0875,TJACQUES@WM.COM,31-MAY-24,3700000.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
3652737,KESLAW LOGISTICS LLC,,Interstate,08-JUN-21,New Mexico,50.0,50.0,15480 RESERVOIR RD NW,ALBUQUERQUE,New Mexico,87121,United States,(303) 503-7382,KESLAWLOGISTICS@GMAIL.COM,21-AUG-24,1000.0,2024.0,AUTHORIZED_FOR_HIRE
3766685,AFTER HOURS HEATING AND AIR CONDITIONING LLC,,Intrastate Non-Hazmat,17-NOV-21,New Mexico,73.0,2.0,620 E MAIN ST  ,HOBBS,New Mexico,88240-8116,United States,(575) 605-5450,AFTERHOURSHVACLLC@GMAIL.COM,17-NOV-21,,,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
387509,FERGUSON CONSTRUCTION COMPANY,,Interstate,29-MAR-90,New Mexico,68.0,60.0,2200 SOUTH COMMERCIAL,LOVINGTON,New Mexico,88260,United States,(575) 396-3689,FERGUSON@FERGUSONCC.COM,30-SEP-24,109595.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
391503,C & E CONCRETE INC,,Interstate,27-APR-90,New Mexico,85.0,68.0,500 ELKINS RD,GRANTS,New Mexico,87020,United States,(505) 287-2944,GDIVINE@CECONCRETE.NET,01-MAR-24,3000000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
4013399,TWIN STARS COMPRESSION LLC,,Interstate,18-JAN-23,New Mexico,52.0,39.0,100 IOWA,BLOOMFIELD,New Mexico,87413-5390,United States,(505) 632-9202,FATENCIO@TWINSTARS.COM,26-DEC-23,450000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
401901,MESA VERDE ENTERPRISES INC,AGGREGATE TECHNOLOGIES LLC AGGTEC,Interstate,24-JUL-90,New Mexico,71.0,60.0,396 LA LUZ GATE RD,ALAMOGORDO,New Mexico,88310,United States,(575) 437-2995,,24-JUN-24,1125388.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
4024354,A-PLUS P&A LLC,,Interstate,07-FEB-23,New Mexico,69.0,72.0,3107 BLOOMFIELD HWY,FARMINGTON,New Mexico,87401-2813,United States,(505) 325-2627,RANDY@APLUSWELL.COM,24-AUG-23,,,PRIVATE_ONLY;PRIVATE_PROPERTY
4128452,ALBERT HENDERSON,,Interstate,07-SEP-23,New Mexico,51.0,2.0,608 GROVE ST SE APT 2  ,ALBUQUERQUE,New Mexico,87108,United States,(505) 785-1476,LAWISLIBERTY@ICLOUD.COM,07-SEP-23,,,AUTHORIZED_FOR_HIRE
4150492,ISAAC TRANSPORTATION,ISAAC TRANSPORTATION SERVICES,Intrastate Non-Hazmat,28-OCT-23,New Mexico,123.0,4.0,11301 SHADOW MOUNTAIN RD NE  ,ALBUQUERQUE,New Mexico,87123-2839,United States,(575) 263-1813,VGABE1203@GMAIL.COM,28-OCT-23,,,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
448757,WASTE CONNECTIONS OF NEW MEXICO INC,SOUTHWEST DISPOSAL CORP,Interstate,11-JUN-91,New Mexico,50.0,21.0,2485 W AMADOR,LAS CRUCES,New Mexico,88004,United States,(575) 524-8482,REXM@WCNX.ORG,01-FEB-23,500000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
463422,INDUSTRIAL MECHANICAL INC,,Interstate,18-NOV-91,New Mexico,45.0,39.0,3030 LA PLATA HIGHWAY,FARMINGTON,New Mexico,87401,United States,(505) 325-5005,ABOOGNL@EMC-NM.COM,14-FEB-24,50000.0,2023.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
536111,WILD WEST EXPRESS INC,,Interstate,07-SEP-93,New Mexico,114.0,120.0,850 SQUIRREL ROAD,LAS CRUCES,New Mexico,88007,United States,(575) 527-4123,LISA@WILDWESTEXPRESS.COM,04-JUL-24,12943597.0,2022.0,AUTHORIZED_FOR_HIRE
545058,NATIONAL TECHNOLOGY AND ENGINEERING SOLUTIONS OF SANDIA,SANDIA NATIONAL LABORATORIES,Intrastate Non-Hazmat,09-DEC-93,New Mexico,70.0,89.0,1515 EUBANK BOULEVARD SE,ALBUQUERQUE,New Mexico,87185,United States,(505) 845-9845,ECCARSO@SANDIA.GOV,08-JAN-24,47000.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY;PRIVATE_PASSENGER_BUSINESS
550079,FARMERS' ELECTRIC COOPERATIVE INC OF NM,,Interstate,09-FEB-94,New Mexico,42.0,41.0,3701 THORNTON STREET,CLOVIS,New Mexico,88101,United States,(575) 762-4466,,13-SEP-24,656623.0,2024.0,PRIVATE_ONLY;PRIVATE_PROPERTY
606131,CONSTRUCTORS INC,,Interstate,27-JUN-95,New Mexico,42.0,42.0,3003 SOUTH BOYD DRIVE,CARLSBAD,New Mexico,88220,United States,(575) 885-8838,SNEATHERLIN@CICONSTRUCTORS.COM,05-FEB-25,982105.0,2024.0,PRIVATE_ONLY;PRIVATE_PROPERTY
642638,GANDY CORPORATION,,Interstate,28-MAY-96,New Mexico,43.0,26.0,2516 WEST AVE D,LOVINGTON,New Mexico,88260-2140,United States,(575) 396-0522,LGANDY@GANDYCORPORATION.COM,21-DEC-23,972131.0,2021.0,AUTHORIZED_FOR_HIRE;PRIVATE_PROPERTY
